Filepath,Speaker,Text,Emotion
./dataset/crema-d\AudioWAV\1001_ITH_NEU_XX.wav,Crema_1001,I think I have a doctor's appointment,Neutral
./dataset/crema-d\AudioWAV\1001_ITH_SAD_XX.wav,Crema_1001,I think I have a doctor's appointment,Sad
./dataset/crema-d\AudioWAV\1001_ITS_ANG_XX.wav,Crema_1001,I think I've seen this before,Anger
./dataset/crema-d\AudioWAV\1001_ITS_DIS_XX.wav,Crema_1001,I think I've seen this before,Disgust
./dataset/crema-d\AudioWAV\1001_ITS_FEA_XX.wav,Crema_1001,I think I've seen this before,Fear
./dataset/crema-d\AudioWAV\1001_ITS_HAP_XX.wav,Crema_1001,I think I've seen this before,Happy
./dataset/crema-d\AudioWAV\1001_ITS_NEU_XX.wav,Crema_1001,I think I've seen this before,Neutral
./dataset/crema-d\AudioWAV\1001_ITS_SAD_XX.wav,Crema_1001,I think I've seen this before,Sad
./dataset/crema-d\AudioWAV\1001_IWL_ANG_XX.wav,Crema_1001,I would like a new alarm clock,Anger
./dataset/crema-d\AudioWAV\1001_IWL_DIS_XX.wav,Crema_1001,I would like a new alarm clock,Disgust
./dataset/crema-d\AudioWAV\1001_IWL_FEA_XX.wav,Crema_1001,I would like a new alarm clock,Fear
./dataset/crema-d\AudioWAV\1001_IWL_HAP_XX.wav,Crema_1001,I would like a new alarm clock,Happy
./dataset/crema-d\AudioWAV\1001_IWL_NEU_XX.wav,Crema_1001,I would like a new alarm clock,Neutral
./dataset/crema-d\AudioWAV\1001_IWL_SAD_XX.wav,Crema_1001,I would like a new alarm clock,Sad
./dataset/crema-d\AudioWAV\1001_IWW_ANG_XX.wav,Crema_1001,I wonder what this is about,Anger
./dataset/crema-d\AudioWAV\1001_IWW_DIS_XX.wav,Crema_1001,I wonder what this is about,Disgust
./dataset/crema-d\AudioWAV\1001_IWW_FEA_XX.wav,Crema_1001,I wonder what this is about,Fear
./dataset/crema-d\AudioWAV\1001_IWW_HAP_XX.wav,Crema_1001,I wonder what this is about,Happy
./dataset/crema-d\AudioWAV\1001_IWW_NEU_XX.wav,Crema_1001,I wonder what this is about,Neutral
./dataset/crema-d\AudioWAV\1001_IWW_SAD_XX.wav,Crema_1001,I wonder what this is about,Sad
./dataset/crema-d\AudioWAV\1001_MTI_ANG_XX.wav,Crema_1001,Maybe tomorrow it will be cold,Anger
./dataset/crema-d\AudioWAV\1001_MTI_DIS_XX.wav,Crema_1001,Maybe tomorrow it will be cold,Disgust
./dataset/crema-d\AudioWAV\1001_MTI_FEA_XX.wav,Crema_1001,Maybe tomorrow it will be cold,Fear
./dataset/crema-d\AudioWAV\1001_MTI_HAP_XX.wav,Crema_1001,Maybe tomorrow it will be cold,Happy
./dataset/crema-d\AudioWAV\1001_MTI_NEU_XX.wav,Crema_1001,Maybe tomorrow it will be cold,Neutral
./dataset/crema-d\AudioWAV\1001_MTI_SAD_XX.wav,Crema_1001,Maybe tomorrow it will be cold,Sad
./dataset/crema-d\AudioWAV\1001_TAI_ANG_XX.wav,Crema_1001,The airplane is almost full,Anger
./dataset/crema-d\AudioWAV\1001_TAI_DIS_XX.wav,Crema_1001,The airplane is almost full,Disgust
./dataset/crema-d\AudioWAV\1001_TAI_FEA_XX.wav,Crema_1001,The airplane is almost full,Fear
./dataset/crema-d\AudioWAV\1001_TAI_HAP_XX.wav,Crema_1001,The airplane is almost full,Happy
./dataset/crema-d\AudioWAV\1001_TAI_NEU_XX.wav,Crema_1001,The airplane is almost full,Neutral
./dataset/crema-d\AudioWAV\1001_TAI_SAD_XX.wav,Crema_1001,The airplane is almost full,Sad
./dataset/crema-d\AudioWAV\1001_TIE_ANG_XX.wav,Crema_1001,That is exactly what happened,Anger
./dataset/crema-d\AudioWAV\1001_TIE_DIS_XX.wav,Crema_1001,That is exactly what happened,Disgust
./dataset/crema-d\AudioWAV\1001_TIE_FEA_XX.wav,Crema_1001,That is exactly what happened,Fear
./dataset/crema-d\AudioWAV\1001_TIE_HAP_XX.wav,Crema_1001,That is exactly what happened,Happy
./dataset/crema-d\AudioWAV\1001_TIE_NEU_XX.wav,Crema_1001,That is exactly what happened,Neutral
./dataset/crema-d\AudioWAV\1001_TIE_SAD_XX.wav,Crema_1001,That is exactly what happened,Sad
./dataset/crema-d\AudioWAV\1001_TSI_ANG_XX.wav,Crema_1001,The surface is slick,Anger
./dataset/crema-d\AudioWAV\1001_TSI_DIS_XX.wav,Crema_1001,The surface is slick,Disgust
./dataset/crema-d\AudioWAV\1001_TSI_FEA_XX.wav,Crema_1001,The surface is slick,Fear
./dataset/crema-d\AudioWAV\1001_TSI_HAP_XX.wav,Crema_1001,The surface is slick,Happy
./dataset/crema-d\AudioWAV\1001_TSI_NEU_XX.wav,Crema_1001,The surface is slick,Neutral
./dataset/crema-d\AudioWAV\1001_TSI_SAD_XX.wav,Crema_1001,The surface is slick,Sad
./dataset/crema-d\AudioWAV\1001_WSI_ANG_XX.wav,Crema_1001,We'll stop in a couple of minutes,Anger
./dataset/crema-d\AudioWAV\1001_WSI_DIS_XX.wav,Crema_1001,We'll stop in a couple of minutes,Disgust
./dataset/crema-d\AudioWAV\1001_WSI_FEA_XX.wav,Crema_1001,We'll stop in a couple of minutes,Fear
./dataset/crema-d\AudioWAV\1001_WSI_HAP_XX.wav,Crema_1001,We'll stop in a couple of minutes,Happy
./dataset/crema-d\AudioWAV\1001_WSI_NEU_XX.wav,Crema_1001,We'll stop in a couple of minutes,Neutral
./dataset/crema-d\AudioWAV\1001_WSI_SAD_XX.wav,Crema_1001,We'll stop in a couple of minutes,Sad
./dataset/crema-d\AudioWAV\1002_DFA_ANG_XX.wav,Crema_1002,Don't forget a jacket,Anger
./dataset/crema-d\AudioWAV\1002_DFA_DIS_XX.wav,Crema_1002,Don't forget a jacket,Disgust
./dataset/crema-d\AudioWAV\1002_DFA_FEA_XX.wav,Crema_1002,Don't forget a jacket,Fear
./dataset/crema-d\AudioWAV\1002_DFA_HAP_XX.wav,Crema_1002,Don't forget a jacket,Happy
./dataset/crema-d\AudioWAV\1002_DFA_NEU_XX.wav,Crema_1002,Don't forget a jacket,Neutral
./dataset/crema-d\AudioWAV\1002_DFA_SAD_XX.wav,Crema_1002,Don't forget a jacket,Sad
./dataset/crema-d\AudioWAV\1002_IEO_ANG_HI.wav,Crema_1002,It's eleven o'clock,Anger
./dataset/crema-d\AudioWAV\1002_IEO_ANG_LO.wav,Crema_1002,It's eleven o'clock,Anger
./dataset/crema-d\AudioWAV\1002_IEO_ANG_MD.wav,Crema_1002,It's eleven o'clock,Anger
./dataset/crema-d\AudioWAV\1002_IEO_DIS_HI.wav,Crema_1002,It's eleven o'clock,Disgust
./dataset/crema-d\AudioWAV\1002_IEO_DIS_LO.wav,Crema_1002,It's eleven o'clock,Disgust
./dataset/crema-d\AudioWAV\1002_IEO_DIS_MD.wav,Crema_1002,It's eleven o'clock,Disgust
./dataset/crema-d\AudioWAV\1002_IEO_FEA_HI.wav,Crema_1002,It's eleven o'clock,Fear
./dataset/crema-d\AudioWAV\1002_IEO_FEA_LO.wav,Crema_1002,It's eleven o'clock,Fear
./dataset/crema-d\AudioWAV\1002_IEO_FEA_MD.wav,Crema_1002,It's eleven o'clock,Fear
./dataset/crema-d\AudioWAV\1002_IEO_HAP_HI.wav,Crema_1002,It's eleven o'clock,Happy
./dataset/crema-d\AudioWAV\1002_IEO_HAP_LO.wav,Crema_1002,It's eleven o'clock,Happy
./dataset/crema-d\AudioWAV\1002_IEO_HAP_MD.wav,Crema_1002,It's eleven o'clock,Happy
./dataset/crema-d\AudioWAV\1002_IEO_NEU_XX.wav,Crema_1002,It's eleven o'clock,Neutral
./dataset/crema-d\AudioWAV\1002_IEO_SAD_HI.wav,Crema_1002,It's eleven o'clock,Sad
./dataset/crema-d\AudioWAV\1002_IEO_SAD_LO.wav,Crema_1002,It's eleven o'clock,Sad
./dataset/crema-d\AudioWAV\1002_IEO_SAD_MD.wav,Crema_1002,It's eleven o'clock,Sad
./dataset/crema-d\AudioWAV\1002_IOM_ANG_XX.wav,Crema_1002,I'm on my way to the meeting,Anger
./dataset/crema-d\AudioWAV\1002_IOM_DIS_XX.wav,Crema_1002,I'm on my way to the meeting,Disgust
./dataset/crema-d\AudioWAV\1002_IOM_FEA_XX.wav,Crema_1002,I'm on my way to the meeting,Fear
./dataset/crema-d\AudioWAV\1002_IOM_HAP_XX.wav,Crema_1002,I'm on my way to the meeting,Happy
./dataset/crema-d\AudioWAV\1002_IOM_NEU_XX.wav,Crema_1002,I'm on my way to the meeting,Neutral
./dataset/crema-d\AudioWAV\1002_IOM_SAD_XX.wav,Crema_1002,I'm on my way to the meeting,Sad
./dataset/crema-d\AudioWAV\1002_ITH_ANG_XX.wav,Crema_1002,I think I have a doctor's appointment,Anger
./dataset/crema-d\AudioWAV\1002_ITH_DIS_XX.wav,Crema_1002,I think I have a doctor's appointment,Disgust
./dataset/crema-d\AudioWAV\1002_ITH_FEA_XX.wav,Crema_1002,I think I have a doctor's appointment,Fear
./dataset/crema-d\AudioWAV\1002_ITH_HAP_XX.wav,Crema_1002,I think I have a doctor's appointment,Happy
./dataset/crema-d\AudioWAV\1002_ITH_NEU_XX.wav,Crema_1002,I think I have a doctor's appointment,Neutral
./dataset/crema-d\AudioWAV\1002_ITH_SAD_XX.wav,Crema_1002,I think I have a doctor's appointment,Sad
./dataset/crema-d\AudioWAV\1002_ITS_ANG_XX.wav,Crema_1002,I think I've seen this before,Anger
./dataset/crema-d\AudioWAV\1002_ITS_DIS_XX.wav,Crema_1002,I think I've seen this before,Disgust
./dataset/crema-d\AudioWAV\1002_ITS_FEA_XX.wav,Crema_1002,I think I've seen this before,Fear
./dataset/crema-d\AudioWAV\1002_ITS_HAP_XX.wav,Crema_1002,I think I've seen this before,Happy
./dataset/crema-d\AudioWAV\1002_ITS_NEU_XX.wav,Crema_1002,I think I've seen this before,Neutral
./dataset/crema-d\AudioWAV\1002_ITS_SAD_XX.wav,Crema_1002,I think I've seen this before,Sad
./dataset/crema-d\AudioWAV\1002_IWL_ANG_XX.wav,Crema_1002,I would like a new alarm clock,Anger
./dataset/crema-d\AudioWAV\1002_IWL_DIS_XX.wav,Crema_1002,I would like a new alarm clock,Disgust
./dataset/crema-d\AudioWAV\1002_IWL_FEA_XX.wav,Crema_1002,I would like a new alarm clock,Fear
./dataset/crema-d\AudioWAV\1002_IWL_HAP_XX.wav,Crema_1002,I would like a new alarm clock,Happy
./dataset/crema-d\AudioWAV\1002_IWL_NEU_XX.wav,Crema_1002,I would like a new alarm clock,Neutral
./dataset/crema-d\AudioWAV\1002_IWL_SAD_XX.wav,Crema_1002,I would like a new alarm clock,Sad
./dataset/crema-d\AudioWAV\1002_IWW_ANG_XX.wav,Crema_1002,I wonder what this is about,Anger
./dataset/crema-d\AudioWAV\1002_IWW_DIS_XX.wav,Crema_1002,I wonder what this is about,Disgust
./dataset/crema-d\AudioWAV\1002_IWW_FEA_XX.wav,Crema_1002,I wonder what this is about,Fear
./dataset/crema-d\AudioWAV\1002_IWW_HAP_XX.wav,Crema_1002,I wonder what this is about,Happy
./dataset/crema-d\AudioWAV\1002_IWW_NEU_XX.wav,Crema_1002,I wonder what this is about,Neutral
./dataset/crema-d\AudioWAV\1002_IWW_SAD_XX.wav,Crema_1002,I wonder what this is about,Sad
./dataset/crema-d\AudioWAV\1002_MTI_ANG_XX.wav,Crema_1002,Maybe tomorrow it will be cold,Anger
./dataset/crema-d\AudioWAV\1002_MTI_DIS_XX.wav,Crema_1002,Maybe tomorrow it will be cold,Disgust
./dataset/crema-d\AudioWAV\1002_MTI_FEA_XX.wav,Crema_1002,Maybe tomorrow it will be cold,Fear
./dataset/crema-d\AudioWAV\1002_MTI_HAP_XX.wav,Crema_1002,Maybe tomorrow it will be cold,Happy
./dataset/crema-d\AudioWAV\1002_MTI_NEU_XX.wav,Crema_1002,Maybe tomorrow it will be cold,Neutral
./dataset/crema-d\AudioWAV\1002_MTI_SAD_XX.wav,Crema_1002,Maybe tomorrow it will be cold,Sad
./dataset/crema-d\AudioWAV\1002_TAI_ANG_XX.wav,Crema_1002,The airplane is almost full,Anger
./dataset/crema-d\AudioWAV\1002_TAI_DIS_XX.wav,Crema_1002,The airplane is almost full,Disgust
./dataset/crema-d\AudioWAV\1002_TAI_FEA_XX.wav,Crema_1002,The airplane is almost full,Fear
./dataset/crema-d\AudioWAV\1002_TAI_HAP_XX.wav,Crema_1002,The airplane is almost full,Happy
./dataset/crema-d\AudioWAV\1002_TAI_NEU_XX.wav,Crema_1002,The airplane is almost full,Neutral
./dataset/crema-d\AudioWAV\1002_TAI_SAD_XX.wav,Crema_1002,The airplane is almost full,Sad
./dataset/crema-d\AudioWAV\1002_TIE_ANG_XX.wav,Crema_1002,That is exactly what happened,Anger
./dataset/crema-d\AudioWAV\1002_TIE_DIS_XX.wav,Crema_1002,That is exactly what happened,Disgust
./dataset/crema-d\AudioWAV\1002_TIE_FEA_XX.wav,Crema_1002,That is exactly what happened,Fear
./dataset/crema-d\AudioWAV\1002_TIE_HAP_XX.wav,Crema_1002,That is exactly what happened,Happy
./dataset/crema-d\AudioWAV\1002_TIE_SAD_XX.wav,Crema_1002,That is exactly what happened,Sad
./dataset/crema-d\AudioWAV\1002_TSI_ANG_XX.wav,Crema_1002,The surface is slick,Anger
./dataset/crema-d\AudioWAV\1002_TSI_DIS_XX.wav,Crema_1002,The surface is slick,Disgust
./dataset/crema-d\AudioWAV\1002_TSI_FEA_XX.wav,Crema_1002,The surface is slick,Fear
./dataset/crema-d\AudioWAV\1002_TSI_HAP_XX.wav,Crema_1002,The surface is slick,Happy
./dataset/crema-d\AudioWAV\1002_TSI_NEU_XX.wav,Crema_1002,The surface is slick,Neutral
./dataset/crema-d\AudioWAV\1002_TSI_SAD_XX.wav,Crema_1002,The surface is slick,Sad
./dataset/crema-d\AudioWAV\1002_WSI_ANG_XX.wav,Crema_1002,We'll stop in a couple of minutes,Anger
./dataset/crema-d\AudioWAV\1002_WSI_DIS_XX.wav,Crema_1002,We'll stop in a couple of minutes,Disgust
./dataset/crema-d\AudioWAV\1002_WSI_FEA_XX.wav,Crema_1002,We'll stop in a couple of minutes,Fear
./dataset/crema-d\AudioWAV\1002_WSI_HAP_XX.wav,Crema_1002,We'll stop in a couple of minutes,Happy
./dataset/crema-d\AudioWAV\1002_WSI_NEU_XX.wav,Crema_1002,We'll stop in a couple of minutes,Neutral
./dataset/crema-d\AudioWAV\1002_WSI_SAD_XX.wav,Crema_1002,We'll stop in a couple of minutes,Sad
./dataset/crema-d\AudioWAV\1003_DFA_ANG_XX.wav,Crema_1003,Don't forget a jacket,Anger
./dataset/crema-d\AudioWAV\1003_DFA_DIS_XX.wav,Crema_1003,Don't forget a jacket,Disgust
./dataset/crema-d\AudioWAV\1003_DFA_FEA_XX.wav,Crema_1003,Don't forget a jacket,Fear
./dataset/crema-d\AudioWAV\1003_DFA_HAP_XX.wav,Crema_1003,Don't forget a jacket,Happy
./dataset/crema-d\AudioWAV\1003_DFA_NEU_XX.wav,Crema_1003,Don't forget a jacket,Neutral
./dataset/crema-d\AudioWAV\1003_DFA_SAD_XX.wav,Crema_1003,Don't forget a jacket,Sad
./dataset/crema-d\AudioWAV\1003_IEO_ANG_HI.wav,Crema_1003,It's eleven o'clock,Anger
./dataset/crema-d\AudioWAV\1003_IEO_ANG_LO.wav,Crema_1003,It's eleven o'clock,Anger
./dataset/crema-d\AudioWAV\1003_IEO_ANG_MD.wav,Crema_1003,It's eleven o'clock,Anger
./dataset/crema-d\AudioWAV\1003_IEO_DIS_HI.wav,Crema_1003,It's eleven o'clock,Disgust
./dataset/crema-d\AudioWAV\1003_IEO_DIS_LO.wav,Crema_1003,It's eleven o'clock,Disgust
./dataset/crema-d\AudioWAV\1003_IEO_DIS_MD.wav,Crema_1003,It's eleven o'clock,Disgust
./dataset/crema-d\AudioWAV\1003_IEO_FEA_HI.wav,Crema_1003,It's eleven o'clock,Fear
./dataset/crema-d\AudioWAV\1003_IEO_FEA_LO.wav,Crema_1003,It's eleven o'clock,Fear
./dataset/crema-d\AudioWAV\1003_IEO_FEA_MD.wav,Crema_1003,It's eleven o'clock,Fear
./dataset/crema-d\AudioWAV\1003_IEO_HAP_HI.wav,Crema_1003,It's eleven o'clock,Happy
./dataset/crema-d\AudioWAV\1003_IEO_HAP_LO.wav,Crema_1003,It's eleven o'clock,Happy
./dataset/crema-d\AudioWAV\1003_IEO_HAP_MD.wav,Crema_1003,It's eleven o'clock,Happy
./dataset/crema-d\AudioWAV\1003_IEO_NEU_XX.wav,Crema_1003,It's eleven o'clock,Neutral
./dataset/crema-d\AudioWAV\1003_IEO_SAD_HI.wav,Crema_1003,It's eleven o'clock,Sad
./dataset/crema-d\AudioWAV\1003_IEO_SAD_LO.wav,Crema_1003,It's eleven o'clock,Sad
./dataset/crema-d\AudioWAV\1003_IEO_SAD_MD.wav,Crema_1003,It's eleven o'clock,Sad
./dataset/crema-d\AudioWAV\1003_IOM_ANG_XX.wav,Crema_1003,I'm on my way to the meeting,Anger
./dataset/crema-d\AudioWAV\1003_IOM_DIS_XX.wav,Crema_1003,I'm on my way to the meeting,Disgust
./dataset/crema-d\AudioWAV\1003_IOM_FEA_XX.wav,Crema_1003,I'm on my way to the meeting,Fear
./dataset/crema-d\AudioWAV\1003_IOM_HAP_XX.wav,Crema_1003,I'm on my way to the meeting,Happy
./dataset/crema-d\AudioWAV\1003_IOM_NEU_XX.wav,Crema_1003,I'm on my way to the meeting,Neutral
./dataset/crema-d\AudioWAV\1003_IOM_SAD_XX.wav,Crema_1003,I'm on my way to the meeting,Sad
./dataset/crema-d\AudioWAV\1003_ITH_ANG_XX.wav,Crema_1003,I think I have a doctor's appointment,Anger
./dataset/crema-d\AudioWAV\1003_ITH_DIS_XX.wav,Crema_1003,I think I have a doctor's appointment,Disgust
./dataset/crema-d\AudioWAV\1003_ITH_FEA_XX.wav,Crema_1003,I think I have a doctor's appointment,Fear
./dataset/crema-d\AudioWAV\1003_ITH_HAP_XX.wav,Crema_1003,I think I have a doctor's appointment,Happy
./dataset/crema-d\AudioWAV\1003_ITH_NEU_XX.wav,Crema_1003,I think I have a doctor's appointment,Neutral
./dataset/crema-d\AudioWAV\1003_ITH_SAD_XX.wav,Crema_1003,I think I have a doctor's appointment,Sad
./dataset/crema-d\AudioWAV\1003_ITS_ANG_XX.wav,Crema_1003,I think I've seen this before,Anger
./dataset/crema-d\AudioWAV\1003_ITS_DIS_XX.wav,Crema_1003,I think I've seen this before,Disgust
./dataset/crema-d\AudioWAV\1003_ITS_FEA_XX.wav,Crema_1003,I think I've seen this before,Fear
./dataset/crema-d\AudioWAV\1003_ITS_HAP_XX.wav,Crema_1003,I think I've seen this before,Happy
./dataset/crema-d\AudioWAV\1003_ITS_NEU_XX.wav,Crema_1003,I think I've seen this before,Neutral
./dataset/crema-d\AudioWAV\1003_ITS_SAD_XX.wav,Crema_1003,I think I've seen this before,Sad
./dataset/crema-d\AudioWAV\1003_IWL_ANG_XX.wav,Crema_1003,I would like a new alarm clock,Anger
./dataset/crema-d\AudioWAV\1003_IWL_DIS_XX.wav,Crema_1003,I would like a new alarm clock,Disgust
./dataset/crema-d\AudioWAV\1003_IWL_FEA_XX.wav,Crema_1003,I would like a new alarm clock,Fear
./dataset/crema-d\AudioWAV\1003_IWL_HAP_XX.wav,Crema_1003,I would like a new alarm clock,Happy
./dataset/crema-d\AudioWAV\1003_IWL_NEU_XX.wav,Crema_1003,I would like a new alarm clock,Neutral
./dataset/crema-d\AudioWAV\1003_IWL_SAD_XX.wav,Crema_1003,I would like a new alarm clock,Sad
./dataset/crema-d\AudioWAV\1003_IWW_ANG_XX.wav,Crema_1003,I wonder what this is about,Anger
./dataset/crema-d\AudioWAV\1003_IWW_DIS_XX.wav,Crema_1003,I wonder what this is about,Disgust
./dataset/crema-d\AudioWAV\1003_IWW_FEA_XX.wav,Crema_1003,I wonder what this is about,Fear
./dataset/crema-d\AudioWAV\1003_IWW_HAP_XX.wav,Crema_1003,I wonder what this is about,Happy
./dataset/crema-d\AudioWAV\1003_IWW_NEU_XX.wav,Crema_1003,I wonder what this is about,Neutral
./dataset/crema-d\AudioWAV\1003_IWW_SAD_XX.wav,Crema_1003,I wonder what this is about,Sad
./dataset/crema-d\AudioWAV\1003_MTI_ANG_XX.wav,Crema_1003,Maybe tomorrow it will be cold,Anger
./dataset/crema-d\AudioWAV\1003_MTI_DIS_XX.wav,Crema_1003,Maybe tomorrow it will be cold,Disgust
./dataset/crema-d\AudioWAV\1003_MTI_FEA_XX.wav,Crema_1003,Maybe tomorrow it will be cold,Fear
./dataset/crema-d\AudioWAV\1003_MTI_HAP_XX.wav,Crema_1003,Maybe tomorrow it will be cold,Happy
./dataset/crema-d\AudioWAV\1003_MTI_NEU_XX.wav,Crema_1003,Maybe tomorrow it will be cold,Neutral
./dataset/crema-d\AudioWAV\1003_MTI_SAD_XX.wav,Crema_1003,Maybe tomorrow it will be cold,Sad
./dataset/crema-d\AudioWAV\1003_TAI_ANG_XX.wav,Crema_1003,The airplane is almost full,Anger
./dataset/crema-d\AudioWAV\1003_TAI_DIS_XX.wav,Crema_1003,The airplane is almost full,Disgust
./dataset/crema-d\AudioWAV\1003_TAI_FEA_XX.wav,Crema_1003,The airplane is almost full,Fear
./dataset/crema-d\AudioWAV\1003_TAI_HAP_XX.wav,Crema_1003,The airplane is almost full,Happy
./dataset/crema-d\AudioWAV\1003_TAI_NEU_XX.wav,Crema_1003,The airplane is almost full,Neutral
./dataset/crema-d\AudioWAV\1003_TAI_SAD_XX.wav,Crema_1003,The airplane is almost full,Sad
./dataset/crema-d\AudioWAV\1003_TIE_ANG_XX.wav,Crema_1003,That is exactly what happened,Anger
./dataset/crema-d\AudioWAV\1003_TIE_DIS_XX.wav,Crema_1003,That is exactly what happened,Disgust
./dataset/crema-d\AudioWAV\1003_TIE_FEA_XX.wav,Crema_1003,That is exactly what happened,Fear
./dataset/crema-d\AudioWAV\1003_TIE_HAP_XX.wav,Crema_1003,That is exactly what happened,Happy
./dataset/crema-d\AudioWAV\1003_TIE_NEU_XX.wav,Crema_1003,That is exactly what happened,Neutral
./dataset/crema-d\AudioWAV\1003_TIE_SAD_XX.wav,Crema_1003,That is exactly what happened,Sad
./dataset/crema-d\AudioWAV\1003_TSI_ANG_XX.wav,Crema_1003,The surface is slick,Anger
./dataset/crema-d\AudioWAV\1003_TSI_DIS_XX.wav,Crema_1003,The surface is slick,Disgust
./dataset/crema-d\AudioWAV\1003_TSI_FEA_XX.wav,Crema_1003,The surface is slick,Fear
./dataset/crema-d\AudioWAV\1003_TSI_HAP_XX.wav,Crema_1003,The surface is slick,Happy
./dataset/crema-d\AudioWAV\1003_TSI_NEU_XX.wav,Crema_1003,The surface is slick,Neutral
./dataset/crema-d\AudioWAV\1003_TSI_SAD_XX.wav,Crema_1003,The surface is slick,Sad
./dataset/crema-d\AudioWAV\1003_WSI_ANG_XX.wav,Crema_1003,We'll stop in a couple of minutes,Anger
./dataset/crema-d\AudioWAV\1003_WSI_DIS_XX.wav,Crema_1003,We'll stop in a couple of minutes,Disgust
./dataset/crema-d\AudioWAV\1003_WSI_FEA_XX.wav,Crema_1003,We'll stop in a couple of minutes,Fear
./dataset/crema-d\AudioWAV\1003_WSI_HAP_XX.wav,Crema_1003,We'll stop in a couple of minutes,Happy
./dataset/crema-d\AudioWAV\1003_WSI_NEU_XX.wav,Crema_1003,We'll stop in a couple of minutes,Neutral
./dataset/crema-d\AudioWAV\1003_WSI_SAD_XX.wav,Crema_1003,We'll stop in a couple of minutes,Sad
./dataset/crema-d\AudioWAV\1004_DFA_ANG_XX.wav,Crema_1004,Don't forget a jacket,Anger
./dataset/crema-d\AudioWAV\1004_DFA_DIS_XX.wav,Crema_1004,Don't forget a jacket,Disgust
./dataset/crema-d\AudioWAV\1004_DFA_FEA_XX.wav,Crema_1004,Don't forget a jacket,Fear
./dataset/crema-d\AudioWAV\1004_DFA_HAP_XX.wav,Crema_1004,Don't forget a jacket,Happy
